Nome,Stato,Altitudine (m),Latitudine,Longitudine,Regione/Cantone/Bundesland,Provincia/Distretto,Tipo strada,Superficie,Rif. strada,Wikipedia
Sella di Arpaia,Italia,286,41.03508,14.5398833,Campania,Benevento,primary,asphalt,SS7,https://it.wikipedia.org/wiki/Stretta_di_Arpaia
Passo del Tonale,Italia,1883,46.2580068,10.5818471,Trentino-Alto Adige/Südtirol,Trento,primary,asphalt,SS42,https://it.wikipedia.org/wiki/Passo_del_Tonale
Passo di Costalunga - Karerpass,Italia,1745,46.4042798,11.6089903,Trentino-Alto Adige/Südtirol,Trento,primary,asphalt,SS241,https://it.wikipedia.org/wiki/Passo_di_Costalunga
Passo di Monte Croce Carnico / Plöckenpass / Pas di Mont di Crôs,Italia,1360,46.6035575,12.9451319,Friuli-Venezia Giulia,Udine,primary,asphalt,B110;SS52bis,https://it.wikipedia.org/wiki/Passo_di_Monte_Croce_Carnico
Goletto di Cadino,Italia,1943,45.9082931,10.4174094,Lombardia,Brescia,secondary,asphalt,SPBS669,
Passo di Crocedomini,Italia,1892,45.9075303,10.4095085,Lombardia,Brescia,secondary,asphalt,SPBS345;SPBS669,https://it.wikipedia.org/wiki/Passo_di_Crocedomini
Passo Eira,Italia,2208,46.5383225,10.1664242,Lombardia,Sondrio,secondary;service,asphalt,SS301,https://it.wikipedia.org/wiki/Passo_dell%27Eira
Passo Forcola di Livigno,Italia,2315,46.4409411,10.0561903,Lombardia,Sondrio,secondary;service,asphalt,,https://de.wikipedia.org/wiki/Forcola_di_Livigno
Valico Masera,Italia,762,44.1847553,10.8771856,Emilia-Romagna,Bologna,primary;secondary,asphalt,SP324;SP82,
Passo delle Radici,Italia,1527,44.2093309,10.4887546,Emilia-Romagna,Modena,primary;secondary,asphalt,SP324;SP324dir;SP72,
Forca di Gualdo,Italia,1496,42.8586174,13.1904042,Marche,Macerata,secondary;service,asphalt,SP136,
Passo della Raticosa,Italia,968,44.1729133,11.3384155,Toscana,Firenze,primary,asphalt,SS65,https://it.wikipedia.org/wiki/Passo_della_Raticosa
Passo della Porretta,Italia,932,44.0294523,10.931523,Toscana,Pistoia,tertiary,asphalt,,https://it.wikipedia.org/wiki/Passo_della_Porretta
Passo della Consuma,Italia,1055,43.7829527,11.6016534,Toscana,Arezzo,primary;service,asphalt,SR70,https://it.wikipedia.org/wiki/Passo_della_Consuma
Passo San Giovanni,Italia,272,45.8738402,10.9066186,Trentino-Alto Adige/Südtirol,Trento,primary,asphalt,SS240,https://it.wikipedia.org/wiki/Passo_San_Giovanni
Jaufenpass - Passo di Monte Giovo,Italia,2094,46.8396036,11.3214724,Trentino-Alto Adige/Südtirol,Bolzano/Bozen,primary,asphalt,SS44,https://de.wikipedia.org/wiki/Jaufenpass
Colle San Martino,Italia,1081,39.8947196,16.0488558,Calabria,Cosenza,tertiary;unclassified,asphalt,SP137,
Valico del Rospatoio,Italia,512,43.1783025,11.3321893,Toscana,Siena,secondary,asphalt,SP33,https://it.wikipedia.org/wiki/Valico_del_Rospatoio
Col Sant’Angelo,Italia,1756,46.5817264,12.2517572,Veneto,Belluno,secondary,asphalt,SP49,
Cima Sappada,Italia,1292,46.5701766,12.7212058,Friuli-Venezia Giulia,Udine,primary,asphalt,SR355,https://it.wikipedia.org/wiki/Cima_Sappada
Passo di Giau,Italia,2236,46.4825196,12.053666,Veneto,Belluno,secondary,asphalt,SP638,https://it.wikipedia.org/wiki/Passo_di_Giau
Sella del Monte Zoncolan,Italia,1733,46.5018302,12.9268442,Friuli-Venezia Giulia,Udine,unclassified,asphalt,,
Passo dell'Aprica,Italia,1172,46.1543295,10.1541791,Lombardia,Sondrio,primary,asphalt,SS39,https://de.wikipedia.org/wiki/Apricapass
Bocca Trabaria,Italia,1049,43.5951168,12.235588,Marche,Pesaro e Urbino,path;primary;track,asphalt,SS73bis,https://it.wikipedia.org/wiki/Bocca_Trabaria
Passo dello Sceriffo,Italia,745,45.6404317,10.7545044,Veneto,Verona,tertiary,asphalt,SP29;SP9,
Colla Tre Faggi,Italia,930,43.9275428,11.6780633,Toscana,Firenze,secondary;track,asphalt,SP9ter,
Forcellino di Bianzano,Italia,664,45.7713797,9.9083534,Lombardia,Bergamo,tertiary,asphalt,SP40,
Passo Campiano,Italia,375,45.7637409,10.8234399,Veneto,Verona,residential;service;unclassified,asphalt,,
Colletta di Costafinale,Italia,1111,44.494031,9.2452745,Liguria,Genova,secondary,asphalt,SP56,
Passo delle Tre Strade,Italia,1101,44.8019949,9.3132721,Lombardia,Pavia,primary;tertiary;unclassified,asphalt,SP17;SS461,https://it.wikipedia.org/wiki/Passo_delle_Tre_strade
Passo del Penice,Italia,1149,44.7972866,9.3282965,Emilia-Romagna,Piacenza,primary,asphalt,SS461,https://it.wikipedia.org/wiki/Passo_del_Penice
Passo del Giovà,Italia,1366,44.6837628,9.216941,Lombardia,Pavia,secondary;tertiary,asphalt,SP48;SP88,https://it.wikipedia.org/wiki/Passo_del_Giov%C3%A0
Foce del Cucco,Italia,520,44.1465987,10.0243816,Toscana,Massa-Carrara,primary;secondary,asphalt,SP72;SP9,
Passo Rolle,Italia,1971,46.2963002,11.786321,Trentino-Alto Adige/Südtirol,Trento,primary,asphalt,SS50,https://it.wikipedia.org/wiki/Passo_Rolle
Passo San Nicola,Italia,620,41.3496793,13.5235932,Lazio,Latina,secondary,asphalt,SR82,https://it.wikipedia.org/wiki/Passo_San_Nicola
Passo della Quercia del Monaco,Italia,540,41.39735,13.4263987,Lazio,Frosinone,secondary,asphalt,SR637,
Portella San Rizzo,Italia,465,38.2155828,15.5059496,Sicilia,Messina,secondary;tertiary,asphalt,SP50;SP50bis;SS113,
Portella dello Zoppo,Italia,1263,37.9782016,14.9437705,Sicilia,Messina,secondary;track,asphalt,SS116,
Valico della Forchetta,Italia,1276,41.9203191,14.1075528,Abruzzo,Chieti,primary,asphalt,SS84,
Valico di Bosco la Piana,Italia,920,40.6537469,15.9657443,Basilicata,Potenza,secondary,asphalt,SPexSS7,
Passo Sommo,Italia,1341,45.9195501,11.2062488,Trentino-Alto Adige/Südtirol,Trento,primary,asphalt,SS350,https://it.wikipedia.org/wiki/Passo_Sommo
Valico della Fricca,Italia,1110,45.9497254,11.2072549,Trentino-Alto Adige/Südtirol,Trento,primary,asphalt,SS349,https://it.wikipedia.org/wiki/Valico_della_Fricca
Passo della Sambuca,Italia,1080,44.0723968,11.4855584,Toscana,Firenze,secondary,asphalt,SP477,
Passo di Monte Luco,Italia,794,43.4428328,11.5065058,Toscana,Siena,tertiary,asphalt,SP73,
Passo della Somma,Italia,655,42.6660469,12.7286549,Umbria,Perugia,primary,asphalt,SS3,https://it.wikipedia.org/wiki/Valico_della_Somma
Valico la Croce,Italia,548,45.6337627,10.1439104,Lombardia,Brescia,tertiary;unclassified,asphalt,SP10,
Cavallo di Novezza,Italia,1433,45.7128347,10.8611615,Veneto,Verona,secondary,asphalt,SP8,
Passo di San Valentino,Italia,1314,45.7831372,10.9122391,Trentino-Alto Adige/Südtirol,Trento,tertiary,asphalt,SP208;SP3,
Passo Croce d'Aune,Italia,1011,46.0618045,11.8300803,Veneto,Belluno,secondary,asphalt,SP473,https://it.wikipedia.org/wiki/Passo_Croce_d%27Aune
Passo Vezzena,Italia,1402,45.9566147,11.328594,Trentino-Alto Adige/Südtirol,Trento,primary,asphalt,SS349,https://it.wikipedia.org/wiki/Passo_Vezzena
Forcella Aurine,Italia,1299,46.2365722,11.9760487,Veneto,Belluno,secondary,asphalt,SP347,https://it.wikipedia.org/wiki/Forcella_Aurine
Passo di Lumini,Italia,695,45.6287024,10.7558029,Veneto,Verona,tertiary,asphalt,SP29,
Passo Staulanza,Italia,1766,46.4207005,12.1045012,Veneto,Belluno,secondary,asphalt,SP251,https://it.wikipedia.org/wiki/Passo_Staulanza
Genna Artulu,Italia,981,39.813297,9.362245,Sardegna,Nuoro,primary;unclassified,asphalt,SS198,
Passo del Portello,Italia,1051,44.4954192,9.1786606,Liguria,Genova,secondary,asphalt,SP21,https://it.wikipedia.org/wiki/Passo_del_Portello
Passo Pozza della Cola,Italia,1289,45.7585494,10.8959216,Trentino-Alto Adige/Südtirol,Trento,tertiary,asphalt,SP230,
Colle del Sestriere,Italia,2035,44.9590948,6.882543,Piemonte,Torino,primary,asphalt,SP23,https://it.wikipedia.org/wiki/Colle_del_Sestriere
Passo della Spina,Italia,1525,45.7926763,10.4383047,Lombardia,Brescia,unclassified,asphalt,,
Passo Santel,Italia,1040,46.1767418,11.0531348,Trentino-Alto Adige/Südtirol,Trento,secondary,asphalt,SP64,
Portella Mannino,Italia,649,38.0410307,13.2023672,Sicilia,Palermo,primary,asphalt,SS186,
Valico di Caposs,Italia,889,45.6667862,10.1118594,Lombardia,Brescia,service;unclassified,asphalt,,
Bocchetta di Sant'Anna,Italia,1206,46.1479551,9.2499301,Lombardia,Como,path;unclassified,asphalt,,
Colle San Bartolomeo,Italia,625,44.0102229,7.9520538,Liguria,Imperia,secondary,asphalt,SP20;SP21,https://it.wikipedia.org/wiki/Colle_San_Bartolomeo
Passo della Forcella,Italia,310,45.5979702,10.1772514,Lombardia,Brescia,service;unclassified,asphalt,,
Passo di Viamaggio,Italia,983,43.6825799,12.1164075,Toscana,Arezzo,primary;secondary,asphalt,SP50;SS258,https://it.wikipedia.org/wiki/Passo_di_Viamaggio
Jouf de Sela - Passo Sella - Sellajoch,Italia,2240,46.5080689,11.7673265,Trentino-Alto Adige/Südtirol,Trento,primary,asphalt,SS242,https://it.wikipedia.org/wiki/Passo_Sella
Passo Valles,Italia,2032,46.3386138,11.8002577,Trentino-Alto Adige/Südtirol,Trento,secondary,asphalt,SP 81,https://it.wikipedia.org/wiki/Passo_Valles
Passo del Cimirlo,Italia,730,46.0676009,11.1846466,Trentino-Alto Adige/Südtirol,Trento,residential;tertiary;unclassified,asphalt,,https://it.wikipedia.org/wiki/Passo_del_Cimirlo
Passo Manghen,Italia,2047,46.1732517,11.4414698,Trentino-Alto Adige/Südtirol,Trento,secondary,asphalt,SP31,https://it.wikipedia.org/wiki/Passo_Manghen
Sella di Interneppo,Italia,314,46.318746,13.0886737,Friuli-Venezia Giulia,Udine,tertiary,asphalt,SP36,
Passo Rest / Pas di Rest,Italia,1052,46.3559335,12.7827778,Friuli-Venezia Giulia,Pordenone,secondary,asphalt,SR552,https://it.wikipedia.org/wiki/Forcella_di_Monte_Rest
Giogo del Maniva,Italia,1664,45.8226344,10.4101045,Lombardia,Brescia,path;secondary;unclassified,asphalt,,https://it.wikipedia.org/wiki/Passo_del_Maniva
Valico di Monte Bondone,Italia,1651,46.0392908,11.0582244,Trentino-Alto Adige/Südtirol,Trento,secondary,asphalt,SP85,
Passo del Monte Trebbio,Italia,565,44.1293316,11.8283151,Emilia-Romagna,Forlì-Cesena,secondary;tertiary,asphalt,SP21,
